Name,symbol,address,owner,decimals,coingecko,logo
Decentraland,MANA,https://etherscan.io/address/0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0xa66d83716c7cfe425b44d0f7ef92de263468fb3d,,https://www.coingecko.com/en/coins/decentraland,https://ethplorer.io/images/MANA0f5d2fb2.png
renBTC,RENBTC,https://etherscan.io/address/0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,0xe4b679400f0f267212d5d812b95f58c83243ee71,8,https://www.coingecko.com/en/coins/renbtc,https://ethplorer.io/images/renbtc.png
ARPA Chain,ARPA,https://etherscan.io/address/0xba50933c268f567bdc86e1ac131be072c6b0b71a,0xb29306da849201c350cefaa4cfd891f80d23bdba,18,https://www.coingecko.com/en/coins/arpa-chain,https://ethplorer.io/images/ARPAba50933c.jpg
TenX,PAY,https://etherscan.io/address/0xb97048628db6b661d4c2aa833e95dbe1a905b280,0x839ea851397707c4e44bc06f68a540d388298c3d,18,https://www.coingecko.com/en/coins/tenx,https://ethplorer.io/images/PAYb9704862.png
Golff,GOF,https://etherscan.io/address/0x488e0369f9bc5c40c002ea7c1fe4fd01a198801c,0x,18,https://www.coingecko.com/en/coins/golff,https://ethplorer.io/images/GOF488e0369.jpg
Origin Protocol,OGN,https://etherscan.io/address/0x8207c1ffc5b6804f6024322ccf34f29c3541ae26,0xe011fa2a6df98c69383457d87a056ed0103aa352,18,https://www.coingecko.com/en/coins/origin-protocol,https://ethplorer.io/images/OGN8207c1ff.jpg
Ripio Credit Network,RCN,https://etherscan.io/address/0xf970b8e36e23f7fc3fd752eea86f8be8d83375a6,0xf8d81eb6c765397ecfadc3b396715267bb41f241,18,https://www.coingecko.com/en/coins/ripio-credit-network,https://ethplorer.io/images/RCNf970b8e3.png
MANTRA DAO,OM,https://etherscan.io/address/0x2baecdf43734f22fd5c152db08e3c27233f0c7d2,0x,18,https://www.coingecko.com/en/coins/mantra-dao,https://ethplorer.io/images/OM2baecdf4.png
Matic Network,MATIC,https://etherscan.io/address/0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,0x,18,https://www.coingecko.com/en/coins/matic-network,https://ethplorer.io/images/MATIC7d1afa7b.png
Enjin Coin,ENJ,https://etherscan.io/address/0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,0xde63aef60307655405835da74ba02ce4db1a42fb,18,https://www.coingecko.com/en/coins/enjincoin,https://ethplorer.io/images/ENJf629cbd9.png
Numeraire,NMR,https://etherscan.io/address/0x1776e1f26f98b1a5df9cd347953a26dd3cb46671,0x,18,https://www.coingecko.com/en/coins/numeraire,https://ethplorer.io/images/numerarie.png
Kleros,PNK,https://etherscan.io/address/0x93ed3fbe21207ec2e8f2d3c3de6e058cb73bc04d,0x,18,https://www.coingecko.com/en/coins/kleros,https://ethplorer.io/images/PNK93ed3fbe.png
SAND,SAND,https://etherscan.io/address/0x3845badade8e6dff049820680d1f14bd3903a5d0,0x,18,https://www.coingecko.com/en/coins/the-sandbox,https://ethplorer.io/images/SAND3845bada.jpg
Chromia,CHR,https://etherscan.io/address/0x915044526758533dfb918eceb6e44bc21632060d,0x,6,https://www.coingecko.com/en/coins/chromaway,https://ethplorer.io/images/CHR91504452.png
MXC,MXC,https://etherscan.io/address/0x5ca381bbfb58f0092df149bd3d243b08b9a8386e,0x,18,https://www.coingecko.com/en/coins/mxc,https://ethplorer.io/images/MXC5ca381bb.png
Fetch.ai,FET,https://etherscan.io/address/0x1d287cc25dad7ccaf76a26bc660c5f7c8e2a05bd,0x7cd9497b3da5de1eba948fa574c4de771124f1d9,18,https://www.coingecko.com/en/coins/fetch-ai,https://ethplorer.io/images/FET1d287cc2.jpg
Orion Protocol,ORN,https://etherscan.io/address/0x0258f474786ddfd37abce6df6bbb1dd5dfc4434a,0x,8,https://www.coingecko.com/en/coins/orion-protocol,https://ethplorer.io
Status,SNT,https://etherscan.io/address/0x744d70fdbe2ba4cf95131626614a1763df805b9e,0x,18,https://www.coingecko.com/en/coins/status,https://ethplorer.io/images/status.png
DexTools,DEXT,https://etherscan.io/address/0x26ce25148832c04f3d7f26f32478a9fe55197166,0x,18,https://www.coingecko.com/en/coins/idextools,https://ethplorer.io/images/DEXT26ce2514.jpg
Orchid Protocol,OXT,https://etherscan.io/address/0x4575f41308ec1483f3d399aa9a2826d74da13deb,0x,18,https://www.coingecko.com/en/coins/orchid-protocol,https://ethplorer.io/images/OXT4575f413.png
Bounce Token,BOT,https://etherscan.io/address/0x5beabaebb3146685dd74176f68a0721f91297d37,0xc6a34b2bf59baf984884a0cf4c84ed1541e710d7,18,https://www.coingecko.com/en/coins/bounce-token,https://ethplorer.io/images/BOT5beabaeb.jpeg
Celsius Network,CEL,https://etherscan.io/address/0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,0x,4,https://www.coingecko.com/en/coins/celsius-degree-token,https://ethplorer.io/images/CELaaaebe6f.jpg
Frontier Token,FRONT,https://etherscan.io/address/0xf8c3527cc04340b208c854e985240c02f7b7793f,0x,18,https://www.coingecko.com/en/coins/frontier-token,https://ethplorer.io
UTRUST,UTK,https://etherscan.io/address/0x70a72833d6bf7f508c8224ce59ea1ef3d0ea3a38,0x7c41e6d559641805539fbd3492caea57ca492ff7,18,https://www.coingecko.com/en/coins/utrust,https://ethplorer.io/images/UTK70a72833.png
iExec RLC,RLC,https://etherscan.io/address/0x607f4c5bb672230e8672085532f7e901544a7375,0xec33fb8d7c781f6feaf2dd46d521d4f292320200,9,https://www.coingecko.com/en/coins/iexec-rlc,https://ethplorer.io/images/RLC607f4c5b.png
WOM Protocol,WOM,https://etherscan.io/address/0xa982b2e19e90b2d9f7948e9c1b65d119f1ce88d6,0xfbba3fd5a61da0d5cd6fd0274892547d649f99aa,18,https://www.coingecko.com/en/coins/wom-token,https://ethplorer.io/images/WOMa982b2e1.png
sUSD,SUSD,https://etherscan.io/address/0x57ab1ec28d129707052df4df418d58a2d46d5f51,0xeb3107117fead7de89cd14d463d340a2e6917769,18,https://www.coingecko.com/en/coins/nusd,https://ethplorer.io/images/susd.png
Darwinia Network Native Token,RING,https://etherscan.io/address/0x9469d013805bffb7d3debe5e7839237e535ec483,0x4710573b853fdd3561cb4f60ec9394f0155d5105,18,https://www.coingecko.com/en/coins/darwinia-network-native-token,https://ethplorer.io/images/RING9469d013.png
Melon,MLN,https://etherscan.io/address/0xec67005c4e498ec7f55e092bd1d35cbc47c91892,0x,18,https://www.coingecko.com/en/coins/melon,https://ethplorer.io/images/melon.png
Sora,XOR,https://etherscan.io/address/0x40fd72257597aa14c7231a7b1aaa29fce868f677,0xc08edf13be9b9cc584c5da8004ce7e6be63c1316,18,https://www.coingecko.com/en/coins/sora,https://ethplorer.io/images/XOR40fd7225.png
Rarible,RARI,https://etherscan.io/address/0xfca59cd816ab1ead66534d82bc21e7515ce441cf,0x256effcea2ab308d31e318728d2615545171d85b,18,https://www.coingecko.com/en/coins/rarible,https://ethplorer.io/images/RARIfca59cd8.png
DMM: Governance,DMG,https://etherscan.io/address/0xed91879919b71bb6905f23af0a68d231ecf87b14,0x,18,https://www.coingecko.com/en/coins/dmm-governance,https://ethplorer.io/images/dmmg.png
Linear Token,LINA,https://etherscan.io/address/0x3e9bc21c9b189c09df3ef1b824798658d5011937,0x,18,https://www.coingecko.com/en/coins/linear,https://ethplorer.io
